Variable Region Level Season AbsMeanError
thetao antarctic 10m JJA 0.5528042
thetao antarctic 10m SON 0.47529933
thetao antarctic 10m DJF 0.66094553
thetao antarctic 100m MAM 0.7785834
thetao antarctic 100m JJA 0.99753606
thetao antarctic 100m SON 1.0496526
thetao antarctic 100m DJF 0.859912
thetao antarctic 1000m MAM 0.12756833
thetao antarctic 1000m JJA 0.12455709
thetao antarctic 1000m SON 0.13508722
thetao antarctic 1000m DJF 0.122552946
so arctic 10m MAM 1.2957663846922014
so arctic 10m JJA 1.1890138711418698
so arctic 10m SON 1.0574057581779934
so arctic 10m DJF 1.373290260840652
so arctic 100m MAM 0.2753189961396315
so arctic 100m JJA 0.2965251620943023
so arctic 100m SON 0.3617071323871974
so arctic 100m DJF 0.295265043381968
so arctic 1000m MAM 0.014125101731791241
so arctic 1000m JJA 0.014333892854747437
so arctic 1000m SON 0.011979786163713965
so arctic 1000m DJF 0.016727027456751684
so northmid 10m MAM 0.510495848016654
so northmid 10m JJA 0.6403472797454031
so northmid 10m SON 0.6773832227291974
so northmid 10m DJF 0.5000286425957503
so northmid 100m MAM 0.2744997646160837
so northmid 100m JJA 0.2661537738185806
so northmid 100m SON 0.26855856409646595
so northmid 100m DJF 0.2516750364745056
so northmid 1000m MAM 0.02408216452466175
so northmid 1000m JJA 0.025187912520783347
so northmid 1000m SON 0.027621583030582812
so northmid 1000m DJF 0.02462498601250606
so tropics 10m MAM 0.45663483220037715
so tropics 10m JJA 0.4322490166098135
so tropics 10m SON 0.3928709709236883
so tropics 10m DJF 0.3754554515880712
so tropics 100m MAM 0.1498661383390644
so tropics 100m JJA 0.16886494326205076
so tropics 100m SON 0.17731980798447056
so tropics 100m DJF 0.13829073374088774
so tropics 1000m MAM 0.012928410988950761
so tropics 1000m JJA 0.013512682902468421
so tropics 1000m SON 0.013648181416447821
so tropics 1000m DJF 0.013664634283383869
so nino34 10m MAM 0.15556854061398476
so nino34 10m JJA 0.17826699783853814
so nino34 10m SON 0.2785036425420511
so nino34 10m DJF 0.18456996850246496
so nino34 100m MAM 0.0712622015108567
so nino34 100m JJA 0.06341353756820277
so nino34 100m SON 0.10915579266405574
so nino34 100m DJF 0.05224468512700972
so nino34 1000m MAM 0.0032321591886387206
so nino34 1000m JJA 0.005748739633692482
so nino34 1000m SON 0.0038810562793107906
so nino34 1000m DJF 0.003465714283127615
so southmid 10m MAM 0.2797298510320662
so southmid 10m JJA 0.2608283133034321
so southmid 10m SON 0.24763456306241433
so southmid 10m DJF 0.2529049111450684
so southmid 100m MAM 0.1304842842329722
so southmid 100m JJA 0.17331587016963415
so southmid 100m SON 0.19504026244661793
so southmid 100m DJF 0.1434013893960346
so southmid 1000m MAM 0.031210903800209498
so southmid 1000m JJA 0.031576998823602175
so southmid 1000m SON 0.0332202780751345
so southmid 1000m DJF 0.030427682694870343
so antarctic 10m MAM 0.23338356254716489
so antarctic 10m JJA 0.1771474629265692
