series,year,netTOA
09C  06V + newSeaIce,1355,0.2442
09C  06V + newSeaIce,1356,0.2127
09C  06V + newSeaIce,1357,0.555
09C  06V + newSeaIce,1358,0.2918
09C  06V + newSeaIce,1359,0.7018
09C  06V + newSeaIce,1360,1.0106
09C  06V + newSeaIce,1361,0.7502
09C  06V + newSeaIce,1362,1.0184
09C  06V + newSeaIce,1363,1.4691
09C  06V + newSeaIce,1364,0.8462
09C  06V + newSeaIce,1365,0.767
09C  06V + newSeaIce,1366,0.6759
09C  06V + newSeaIce,1367,1.2525
09C  06V + newSeaIce,1368,0.95
09C  06V + newSeaIce,1369,0.732
09C  06V + newSeaIce,1370,1.1502
09C  06V + newSeaIce,1371,0.7941
09C  06V + newSeaIce,1372,0.8736
09C  06V + newSeaIce,1373,0.9299
09C  06V + newSeaIce,1374,0.7805
09C  06V + newSeaIce,1375,1.0058
09C  06V + newSeaIce,1376,0.4612
09C  06V + newSeaIce,1377,0.7775
09C  06V + newSeaIce,1378,1.5579
09C  06V + newSeaIce,1379,0.8557
10A  G4,1350,-1.4812
10A  G4,1351,-1.7116
10A  G4,1352,-1.6481
10A  G4,1353,-0.826
10A  G4,1354,-0.9329
10A  G4,1355,-0.4526
10A  G4,1356,0.0648
10A  G4,1357,0.0155
10A  G4,1358,0.0886
10A  G4,1359,0.1451
10A  G4,1360,0.6971
10A  G4,1361,0.7691
10A  G4,1362,0.6734
10A  G4,1363,0.7283
10A  G4,1364,0.4581
10A  G4,1365,0.996
10A  G4,1366,0.8814
10A  G4,1367,1.3886
10A  G4,1368,1.1553
10A  G4,1369,1.1154
10A  G4,1370,1.1151
10A  G4,1371,1.0216
10A  G4,1372,0.3938
10A  G4,1373,0.5887
10A  G4,1374,0.8548
10A  G4,1375,0.9416
10A  G4,1376,0.7312
10A  G4,1377,0.5085
10A  G4,1378,0.5101
10A  G4,1379,0.239
10A  G4,1380,0.8265
10A  G4,1381,0.8077
10A  G4,1382,0.9965
10A  G4,1383,0.468
10A  G4,1384,0.9348
10A  G4,1385,0.8074
10A  G4,1386,0.9118
10A  G4,1387,0.8282
10A  G4,1388,1.151
10A  G4,1389,0.8825
10A  G4,1390,0.6333
10A  G4,1391,0.5861
10A  G4,1392,0.7386
10A  G4,1393,0.4944
10A  G4,1394,1.1334
10A  G4,1395,1.3227
10A  G4,1396,0.6622
10A  G4,1397,1.1026
10A  G4,1398,0.9188
10A  G4,1399,0.949
10B  G4 + tanh depletion,1350,-1.2514
10B  G4 + tanh depletion,1351,-1.5803
10B  G4 + tanh depletion,1352,-1.1291
10B  G4 + tanh depletion,1353,-0.5878
10B  G4 + tanh depletion,1354,-0.5524
10B  G4 + tanh depletion,1355,0.1077
10B  G4 + tanh depletion,1356,0.0567
10B  G4 + tanh depletion,1357,0.2954
10B  G4 + tanh depletion,1358,0.8948
10B  G4 + tanh depletion,1359,1.2833
10B  G4 + tanh depletion,1360,1.4912
10B  G4 + tanh depletion,1361,1.0104
10B  G4 + tanh depletion,1362,0.6426
10B  G4 + tanh depletion,1363,0.9176
10B  G4 + tanh depletion,1364,0.5118
10B  G4 + tanh depletion,1365,0.5383
10B  G4 + tanh depletion,1366,0.3595
10B  G4 + tanh depletion,1367,0.7873
10B  G4 + tanh depletion,1368,0.6624
10B  G4 + tanh depletion,1369,1.0087
10B  G4 + tanh depletion,1370,0.4648
10B  G4 + tanh depletion,1371,0.8428
10B  G4 + tanh depletion,1372,0.9947
10B  G4 + tanh depletion,1373,1.0021
10B  G4 + tanh depletion,1374,0.8634
10B  G4 + tanh depletion,1375,0.9008
10B  G4 + tanh depletion,1376,0.3179
10B  G4 + tanh depletion,1377,0.5049
10B  G4 + tanh depletion,1378,0.9228
10B  G4 + tanh depletion,1379,1.5901
10B  G4 + tanh depletion,1380,1.357
10B  G4 + tanh depletion,1381,1.0477
10B  G4 + tanh depletion,1382,0.9828
10B  G4 + tanh depletion,1383,0.779
10B  G4 + tanh depletion,1384,1.2258
10B  G4 + tanh depletion,1385,1.0395
10B  G4 + tanh depletion,1386,0.4418
10B  G4 + tanh depletion,1387,1.034
10B  G4 + tanh depletion,1388,1.1063
10B  G4 + tanh depletion,1389,1.0548
10B  G4 + tanh depletion,1390,0.8693
10B  G4 + tanh depletion,1391,1.1365
10B  G4 + tanh depletion,1392,0.827
10B  G4 + tanh depletion,1393,1.4023
10B  G4 + tanh depletion,1394,0.64
10B  G4 + tanh depletion,1395,1.067
10B  G4 + tanh depletion,1396,0.932
10B  G4 + tanh depletion,1397,0.6961
10B  G4 + tanh depletion,1398,0.4565
10B  G4 + tanh depletion,1399,0.9681
