Variable Region Level Season AbsMeanError
zos antarctic surface DJF 0.03422773284290206
mlotst arctic surface MAM 30.784779
mlotst arctic surface JJA 4.010079
mlotst arctic surface SON 5.6702847
mlotst arctic surface DJF 28.537739
mlotst northmid surface MAM 53.71526
mlotst northmid surface JJA 2.6701748
mlotst northmid surface SON 7.5249043
mlotst northmid surface DJF 54.318737
mlotst tropics surface MAM 7.363698
mlotst tropics surface JJA 7.9738917
mlotst tropics surface SON 8.380817
mlotst tropics surface DJF 6.4133697
mlotst nino34 surface MAM 4.8606954
mlotst nino34 surface JJA 8.877839
mlotst nino34 surface SON 9.703882
mlotst nino34 surface DJF 6.3460526
mlotst southmid surface MAM 7.6209497
mlotst southmid surface JJA 33.01222
mlotst southmid surface SON 48.788372
mlotst southmid surface DJF 7.7382636
mlotst antarctic surface MAM 50.077415
mlotst antarctic surface JJA 121.95062
mlotst antarctic surface SON 145.53185
mlotst antarctic surface DJF 31.91645
thetao arctic 10m MAM 0.7549692
thetao arctic 10m JJA 0.8240709
thetao arctic 10m SON 0.51318365
thetao arctic 10m DJF 0.68801814
thetao arctic 100m MAM 0.63212776
thetao arctic 100m JJA 0.45360017
thetao arctic 100m SON 0.45241848
thetao arctic 100m DJF 0.4851619
thetao arctic 1000m MAM 0.0890706
thetao arctic 1000m JJA 0.08761361
thetao arctic 1000m SON 0.08714613
thetao arctic 1000m DJF 0.08859868
thetao northmid 10m MAM 1.812713
thetao northmid 10m JJA 1.1931443
thetao northmid 10m SON 1.0692009
thetao northmid 10m DJF 1.7137392
thetao northmid 100m MAM 1.277006
thetao northmid 100m JJA 1.3530737
thetao northmid 100m SON 1.5062051
thetao northmid 100m DJF 1.2753906
thetao northmid 1000m MAM 0.1422316
thetao northmid 1000m JJA 0.14725897
thetao northmid 1000m SON 0.1546836
thetao northmid 1000m DJF 0.14065918
thetao tropics 10m MAM 1.1579025
thetao tropics 10m JJA 0.8237352
thetao tropics 10m SON 0.6807516
thetao tropics 10m DJF 0.92807806
thetao tropics 100m MAM 1.3346525
thetao tropics 100m JJA 1.5156505
thetao tropics 100m SON 1.4216064
thetao tropics 100m DJF 1.1940342
thetao tropics 1000m MAM 0.09487253
thetao tropics 1000m JJA 0.09699503
thetao tropics 1000m SON 0.10550296
thetao tropics 1000m DJF 0.09662498
thetao nino34 10m MAM 2.4892128
thetao nino34 10m JJA 1.2543389
thetao nino34 10m SON 0.6184843
thetao nino34 10m DJF 1.6995646
thetao nino34 100m MAM 1.3446767
thetao nino34 100m JJA 2.025905
thetao nino34 100m SON 1.2315048
thetao nino34 100m DJF 1.3051044
thetao nino34 1000m MAM 0.04630373
thetao nino34 1000m JJA 0.03975089
thetao nino34 1000m SON 0.039862644
thetao nino34 1000m DJF 0.0567895
thetao southmid 10m MAM 0.7237327
thetao southmid 10m JJA 0.87125254
thetao southmid 10m SON 1.0024189
thetao southmid 10m DJF 0.7617801
thetao southmid 100m MAM 0.8244318
thetao southmid 100m JJA 0.86732674
thetao southmid 100m SON 0.98415583
thetao southmid 100m DJF 0.8431866
thetao southmid 1000m MAM 0.20626955
thetao southmid 1000m JJA 0.2191063
thetao southmid 1000m SON 0.23037183
thetao southmid 1000m DJF 0.20224252
thetao antarctic 10m MAM 0.5376315
thetao antarctic 10m JJA 0.51395184
thetao antarctic 10m SON 0.4798602
thetao antarctic 10m DJF 0.69724643
thetao antarctic 100m MAM 0.77721775
thetao antarctic 100m JJA 0.99693197
thetao antarctic 100m SON 1.0636787
thetao antarctic 100m DJF 0.86827385
thetao antarctic 1000m MAM 0.12776512
thetao antarctic 1000m JJA 0.124332584
thetao antarctic 1000m SON 0.13618416
thetao antarctic 1000m DJF 0.12266938
so arctic 10m MAM 1.309086774290588
so arctic 10m JJA 1.1503259316400845
so arctic 10m SON 1.0760091174906667
so arctic 10m DJF 1.3867262851450652
so arctic 100m MAM 0.27013443887300076
so arctic 100m JJA 0.28313796248425843
so arctic 100m SON 0.35387756140868293
so arctic 100m DJF 0.29405512919336874
so arctic 1000m MAM 0.014255988478217607
so arctic 1000m JJA 0.014435680820298622
so arctic 1000m SON 0.0119403622289069
so arctic 1000m DJF 0.0167505862825286
so northmid 10m MAM 0.5055265141194981
so northmid 10m JJA 0.6072487779727835
so northmid 10m SON 0.6601794091429748
so northmid 10m DJF 0.5057333095615191
so northmid 100m MAM 0.26949103401694396
so northmid 100m JJA 0.26744437353617695
so northmid 100m SON 0.2629467926433131
so northmid 100m DJF 0.24976859780169286
so northmid 1000m MAM 0.02393138040687224
so northmid 1000m JJA 0.025204069924582316
so northmid 1000m SON 0.027735951146261255
so northmid 1000m DJF 0.024713063219867715
so tropics 10m MAM 0.44049945487728437
so tropics 10m JJA 0.42104805240074006
so tropics 10m SON 0.3897252725734719
so tropics 10m DJF 0.3713568144815362
so tropics 100m MAM 0.14882758734236717
so tropics 100m JJA 0.16285048440375954
so tropics 100m SON 0.16977694521126363
so tropics 100m DJF 0.1347829680195821
so tropics 1000m MAM 0.01282006690479559
so tropics 1000m JJA 0.013578310598983748
so tropics 1000m SON 0.014103114657235183
so tropics 1000m DJF 0.013699489707546529
so nino34 10m MAM 0.1683192255578452
so nino34 10m JJA 0.19961043777920148
so nino34 10m SON 0.29684783181438557
so nino34 10m DJF 0.1838119788809929
so nino34 100m MAM 0.06871292603375613
so nino34 100m JJA 0.09222267439435979
so nino34 100m SON 0.12971129151586194
so nino34 100m DJF 0.05529049767615426
so nino34 1000m MAM 0.00317564252790478
so nino34 1000m JJA 0.005747554822621363
so nino34 1000m SON 0.003847077371520946
so nino34 1000m DJF 0.0035376164556663405
so southmid 10m MAM 0.270570648662981
so southmid 10m JJA 0.25238000716740067
so southmid 10m SON 0.23684564100767447
so southmid 10m DJF 0.24224527407347038
so southmid 100m MAM 0.13069611849226764
so southmid 100m JJA 0.16786858735903057
so southmid 100m SON 0.1893872642464053
so southmid 100m DJF 0.14204737137485915
so southmid 1000m MAM 0.03107510800011053
so southmid 1000m JJA 0.03154219667879314
so southmid 1000m SON 0.03314817872865402
so southmid 1000m DJF 0.030317055951182108
so antarctic 10m MAM 0.24156826447504634
so antarctic 10m JJA 0.18406516125533537
so antarctic 10m SON 0.18158737434653816
so antarctic 10m DJF 0.17942095227902272
so antarctic 100m MAM 0.13036290006214796
so antarctic 100m JJA 0.1430194458168005
so antarctic 100m SON 0.12774753503696046
so antarctic 100m DJF 0.11443477132132727
so antarctic 1000m MAM 0.012406564147964982
so antarctic 1000m JJA 0.011552343859253328
so antarctic 1000m SON 0.013301814818191485
so antarctic 1000m DJF 0.01236564690506185
