Variable Region Level Season FracMeanError
so nino34 100m SON 0.2777708788515792
so nino34 100m DJF 0.13730532074622356
so southmid 100m MAM 0.3797286908129981
so southmid 100m JJA 0.49561701649685325
so southmid 100m SON 0.5541709685812132
so southmid 100m DJF 0.41286565690169147
so antarctic 100m MAM 0.5856293702691429
so antarctic 100m JJA 0.602175484323528
so antarctic 100m SON 0.5150839893590882
so antarctic 100m DJF 0.4916766712179736
so arctic 1000m MAM 0.09562666496582856
so arctic 1000m JJA 0.09716824450531666
so arctic 1000m SON 0.08133619589154012
so arctic 1000m DJF 0.11296361113759908
so northmid 1000m MAM 0.08954483186982716
so northmid 1000m JJA 0.09368326449578585
so northmid 1000m SON 0.10264562405923235
so northmid 1000m DJF 0.09174737388955288
so tropics 1000m MAM 0.06819482445123444
so tropics 1000m JJA 0.07121298575737002
so tropics 1000m SON 0.07193795682233593
so tropics 1000m DJF 0.07197427182810484
so nino34 1000m MAM 0.026095559976214603
so nino34 1000m JJA 0.045732491100438144
so nino34 1000m SON 0.03149461455365283
so nino34 1000m DJF 0.02836951372646895
so southmid 1000m MAM 0.2194313062892572
so southmid 1000m JJA 0.22312820264993755
so southmid 1000m SON 0.23441409675630112
so southmid 1000m DJF 0.21437828700740139
so antarctic 1000m MAM 0.11713231096932021
so antarctic 1000m JJA 0.10835835436476708
so antarctic 1000m SON 0.12372276048454581
so antarctic 1000m DJF 0.11697445799434149
CMPI global yearly 0.7576627612109096
