lon,lat,ifs_index,status
-46.666660,68.726780,1459,ok
-43.333340,68.726780,1460,ok
-40.000000,68.726780,1461,ok
-36.666660,68.726780,1462,ok
-33.333340,68.726780,1463,ok
-30.000000,68.726780,1464,ok
16.071430,67.791730,1478,ok
19.285720,67.791730,1479,ok
22.500000,67.791730,1480,ok
25.714280,67.791730,1481,ok
28.928570,67.791730,1482,ok
32.142860,67.791730,1483,ok
35.357140,67.791730,1484,ok
38.571430,67.791730,1485,ok
45.000000,67.791730,1487,ok
51.428570,67.791730,1489,ok
54.642860,67.791730,1490,ok
57.857140,67.791730,1491,ok
61.071430,67.791730,1492,ok
64.285710,67.791730,1493,ok
67.500000,67.791730,1494,ok
70.714290,67.791730,1495,ok
77.142860,67.791730,1497,ok
80.357140,67.791730,1498,ok
83.571430,67.791730,1499,ok
86.785710,67.791730,1500,ok
90.000000,67.791730,1501,ok
93.214290,67.791730,1502,ok
96.428570,67.791730,1503,ok
99.642860,67.791730,1504,ok
102.857140,67.791730,1505,ok
106.071430,67.791730,1506,ok
109.285710,67.791730,1507,ok
112.500000,67.791730,1508,ok
115.714290,67.791730,1509,ok
118.928570,67.791730,1510,ok
122.142860,67.791730,1511,ok
125.357140,67.791730,1512,ok
128.571430,67.791730,1513,ok
131.785720,67.791730,1514,ok
135.000000,67.791730,1515,ok
138.214280,67.791730,1516,ok
141.428570,67.791730,1517,ok
144.642850,67.791730,1518,ok
147.857150,67.791730,1519,ok
151.071430,67.791730,1520,ok
154.285720,67.791730,1521,ok
157.500000,67.791730,1522,ok
160.714280,67.791730,1523,ok
163.928570,67.791730,1524,ok
167.142850,67.791730,1525,ok
170.357150,67.791730,1526,ok
173.571430,67.791730,1527,ok
176.785720,67.791730,1528,ok
-180.000000,67.791730,1529,ok
-176.785720,67.791730,1530,ok
-163.928570,67.791730,1534,ok
-160.714280,67.791730,1535,ok
-157.500000,67.791730,1536,ok
-154.285720,67.791730,1537,ok
-151.071430,67.791730,1538,ok
-147.857150,67.791730,1539,ok
-144.642850,67.791730,1540,ok
-141.428570,67.791730,1541,ok
-138.214280,67.791730,1542,ok
-135.000000,67.791730,1543,ok
-131.785720,67.791730,1544,ok
-128.571430,67.791730,1545,ok
-125.357150,67.791730,1546,ok
-122.142850,67.791730,1547,ok
-118.928570,67.791730,1548,ok
-115.714280,67.791730,1549,ok
-106.071430,67.791730,1552,ok
-102.857150,67.791730,1553,ok
-96.428560,67.791730,1555,ok
-93.214290,67.791730,1556,ok
-90.000000,67.791730,1557,ok
-83.571440,67.791730,1559,ok
-70.714290,67.791730,1563,ok
-67.500000,67.791730,1564,ok
-51.428560,67.791730,1569,ok
-48.214290,67.791730,1570,ok
-45.000000,67.791730,1571,ok
-41.785710,67.791730,1572,ok
-38.571440,67.791730,1573,ok
-35.357150,67.791730,1574,ok
15.517240,66.856690,1590,ok
18.620690,66.856690,1591,ok
21.724140,66.856690,1592,ok
24.827590,66.856690,1593,ok
27.931030,66.856690,1594,ok
31.034480,66.856690,1595,ok
34.137930,66.856690,1596,ok
37.241380,66.856690,1597,ok
40.344830,66.856690,1598,ok
49.655170,66.856690,1601,ok
52.758620,66.856690,1602,ok
55.862070,66.856690,1603,ok
58.965520,66.856690,1604,ok
62.068970,66.856690,1605,ok
65.172420,66.856690,1606,ok
68.275860,66.856690,1607,ok
71.379310,66.856690,1608,ok
74.482760,66.856690,1609,ok
77.586200,66.856690,1610,ok
80.689650,66.856690,1611,ok
83.793110,66.856690,1612,ok
86.896550,66.856690,1613,ok
90.000000,66.856690,1614,ok
93.103450,66.856690,1615,ok
96.206890,66.856690,1616,ok
99.310350,66.856690,1617,ok
102.413800,66.856690,1618,ok
105.517240,66.856690,1619,ok
108.620690,66.856690,1620,ok
111.724140,66.856690,1621,ok
114.827580,66.856690,1622,ok
117.931040,66.856690,1623,ok
121.034480,66.856690,1624,ok
124.137930,66.856690,1625,ok
127.241380,66.856690,1626,ok
130.344830,66.856690,1627,ok
133.448270,66.856690,1628,ok
136.551730,66.856690,1629,ok
139.655170,66.856690,1630,ok
142.758620,66.856690,1631,ok
145.862080,66.856690,1632,ok
148.965520,66.856690,1633,ok
152.068970,66.856690,1634,ok
155.172410,66.856690,1635,ok
158.275860,66.856690,1636,ok
161.379300,66.856690,1637,ok
164.482760,66.856690,1638,ok
167.586210,66.856690,1639,ok
170.689650,66.856690,1640,ok
173.793110,66.856690,1641,ok
176.896550,66.856690,1642,ok
-180.000000,66.856690,1643,ok
-176.896550,66.856690,1644,ok
-161.379300,66.856690,1649,ok
-158.275860,66.856690,1650,ok
-155.172410,66.856690,1651,ok
-152.068970,66.856690,1652,ok
-148.965520,66.856690,1653,ok
-145.862080,66.856690,1654,ok
-142.758620,66.856690,1655,ok
-139.655170,66.856690,1656,ok
-136.551730,66.856690,1657,ok
-133.448270,66.856690,1658,ok
-130.344830,66.856690,1659,ok
-127.241380,66.856690,1660,ok
-124.137920,66.856690,1661,ok
-121.034480,66.856690,1662,ok
-117.931030,66.856690,1663,ok
-114.827590,66.856690,1664,ok
-111.724140,66.856690,1665,ok
-108.620700,66.856690,1666,ok
-105.517240,66.856690,1667,ok
-102.413790,66.856690,1668,ok
-99.310330,66.856690,1669,ok
-96.206910,66.856690,1670,ok
-93.103450,66.856690,1671,ok
-90.000000,66.856690,1672,ok
-86.896550,66.856690,1673,ok
-83.793090,66.856690,1674,ok
-71.379300,66.856690,1678,ok
-68.275850,66.856690,1679,ok
-65.172420,66.856690,1680,ok
-62.068970,66.856690,1681,ok
-52.758610,66.856690,1684,ok
-49.655180,66.856690,1685,ok
-46.551730,66.856690,1686,ok
-43.448270,66.856690,1687,ok
-40.344820,66.856690,1688,ok
-37.241390,66.856690,1689,ok
15.000000,65.921650,1706,ok
18.000000,65.921650,1707,ok
21.000000,65.921650,1708,ok
24.000000,65.921650,1709,ok
27.000000,65.921650,1710,ok
30.000000,65.921650,1711,ok
33.000000,65.921650,1712,ok
42.000000,65.921650,1715,ok
45.000000,65.921650,1716,ok
48.000000,65.921650,1717,ok
51.000000,65.921650,1718,ok
54.000000,65.921650,1719,ok
57.000000,65.921650,1720,ok
60.000000,65.921650,1721,ok
63.000000,65.921650,1722,ok
66.000000,65.921650,1723,ok
69.000000,65.921650,1724,ok
72.000000,65.921650,1725,ok
75.000000,65.921650,1726,ok
78.000000,65.921650,1727,ok
81.000000,65.921650,1728,ok
84.000000,65.921650,1729,ok
